artist,title,album,url,isDownloaded
Lagwagon,Confession,Double Plaidinum,https://music.youtube.com/watch?v=JNtucCWl8-4list=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
NOFX,Jeff Wears Birkenstocks,,https://music.youtube.com/watch?v=tHO0zOHpfjolist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Gang Green,Alcohol,Another Wasted Night,https://music.youtube.com/watch?v=HC6AJnTI-FQlist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
No Use For A Name,Until It's Gone,The Daily Grind,https://music.youtube.com/watch?v=QG88hY8yCjQlist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Bad Religion,Heaven Is Falling,,https://music.youtube.com/watch?v=KIsUWaaiIVwlist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Bad Brains,Don't Blow Bubbles,Quickness,https://music.youtube.com/watch?v=h90gl_K9FE0list=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Pennywise,You'll Never Make It,,https://music.youtube.com/watch?v=mbvcXFEAW7Alist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
The Germs,What We Do Is Secret,GI,https://music.youtube.com/watch?v=ewrhLypWMkElist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Gang Green,Skate To Hell,Another Wasted Night,https://music.youtube.com/watch?v=Tb96ypeminslist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Black Flag,Nervous Breakdown,Nervous Breakdown,https://music.youtube.com/watch?v=ctUiBVT142Ylist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Agnostic Front,Toxic Shock,Cause for Alarm,https://music.youtube.com/watch?v=N6y-XkaItGUlist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
The Dwarves,Throw That World Away,The Dwarves Are Young and Good Looking,https://music.youtube.com/watch?v=0fbKO_Bktzklist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
