artist,title,album,url,isDownloaded
$uicideboy$,Cold Turkey,$outh $ide $uicide,https://music.youtube.com/watch?v=noVvSQjhbGIlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
$uicideboy$,Muddy Blunts,$outh $ide $uicide,https://music.youtube.com/watch?v=bM0caHtF2e8list=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
$uicideboy$,My Flaws Burn Through My Skin Like Demonic Flames from Hell,I No Longer Fear the Razor Guarding My Heel,https://music.youtube.com/watch?v=S0KAAsanVmslist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
NF,Time (Edit),The Search,https://music.youtube.com/watch?v=AG9VwA7ByGElist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
NF,Let You Down,Perception,https://music.youtube.com/watch?v=-z2nfin2hiIlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
NF,The Search,The Search,https://music.youtube.com/watch?v=Zh9p-6JfrSolist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
NF,When I Grow Up,,https://music.youtube.com/watch?v=lxRwEPvL-mQlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Iron Maiden,Wasted Years,Somewhere in Time,https://music.youtube.com/watch?v=ULsr-fFVjVslist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Rage Against The Machine,Bulls On Parade,Evil Empire,https://music.youtube.com/watch?v=DvdeE6KzrTclist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Sabaton,Bismarck,Bismarck,https://music.youtube.com/watch?v=n4zAyyh5VLolist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Slipknot,Unsainted,We Are Not Your Kind,https://music.youtube.com/watch?v=XYZue7_NQewlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
OTHERWISE,Halo,Halo,https://music.youtube.com/watch?v=d5uqxT-uQB0list=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
The Pretty Reckless,Going To Hell,Going To Hell,https://music.youtube.com/watch?v=xqia2At2rXolist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Linkin Park,Bleed It Out,Minutes To Midnight (Deluxe),https://music.youtube.com/watch?v=83QdkHypPF8list=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Halestorm,I Miss the Misery,The Strange Case Of...,https://music.youtube.com/watch?v=hComisqDS1Ilist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Disturbed,Indestructible,Indestructible (Deluxe Digital Release),https://music.youtube.com/watch?v=kjRWG0tKD4Alist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Breaking Benjamin,I Will Not Bow,Dear Agony,https://music.youtube.com/watch?v=m32Bn0HJ8xwlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Alien Ant Farm,Smooth Criminal,ANThology,https://music.youtube.com/watch?v=mjXRapctp6klist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
