artist,title,album,url,isDownloaded
Ariana Grande,"break up with your girlfriend, i'm bored","thank u, next",https://music.youtube.com/watch?v=4nbYqWVXp7Qlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Ariana Grande,The Way (feat. Mac Miller),Yours Truly,https://music.youtube.com/watch?v=XbrcNMuzjyolist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Ariana Grande,Break Free (feat. Zedd),My Everything (Deluxe),https://music.youtube.com/watch?v=1s4-OFCBUGolist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Hayley Kiyoko,Sleepover,Expectations,https://music.youtube.com/watch?v=8ZgBrqAVouUlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
The Wanted,Chasing The Sun,The Wanted (Special Edition),https://music.youtube.com/watch?v=iEEMMevA32klist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
lovelytheband,broken,everything i could never say...,https://music.youtube.com/watch?v=pL3y3wVdTkclist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
BabyJake,Cigarettes On Patios,Cigarettes On Patios,https://music.youtube.com/watch?v=C5dF1Pl-FYslist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
G-Eazy,Hate The Way,Hate The Way,https://music.youtube.com/watch?v=M-mAt3uBp_Ilist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Powfu,death bed (coffee for your head),poems of the past,https://music.youtube.com/watch?v=JApegyYlvyYlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Stellar,Ashes,Ashes,https://music.youtube.com/watch?v=j0ThAwIIrDolist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Machine Gun Kelly,Home,Home,https://music.youtube.com/watch?v=mrukuuMUu_slist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
